class,xmin,ymin,xwidth,ywidth,filename,height,width,xmax,ymax
Mask,59,100,43,74,0519_jpg.rf.d6967f0e0d390cc7baba401fd1db96ea.jpg,300,300,102,174
None,137,91,48,87,0519_jpg.rf.d6967f0e0d390cc7baba401fd1db96ea.jpg,300,300,185,178
None,106,90,27,64,0519_jpg.rf.d6967f0e0d390cc7baba401fd1db96ea.jpg,300,300,133,154
None,194,79,30,56,0519_jpg.rf.d6967f0e0d390cc7baba401fd1db96ea.jpg,300,300,224,135
None,285,30,15,109,0519_jpg.rf.d6967f0e0d390cc7baba401fd1db96ea.jpg,300,300,300,139
None,60,39,20,46,0529_jpg.rf.f88435cfca9de948f698e16028784218.jpg,300,300,80,85
None,192,51,32,48,0529_jpg.rf.f88435cfca9de948f698e16028784218.jpg,300,300,224,99
Mask,80,92,15,17,0529_jpg.rf.f88435cfca9de948f698e16028784218.jpg,300,300,95,109
Mask,108,126,11,15,0529_jpg.rf.f88435cfca9de948f698e16028784218.jpg,300,300,119,141
Mask,89,80,64,64,0532_jpg.rf.7de2512713d3608a381901392ca2c343.jpg,300,300,153,144
Mask,12,91,32,29,0535_jpg.rf.4d08446d8d9cd5045e0ed6a3245162ae.jpg,300,300,44,120
Mask,92,109,18,14,0535_jpg.rf.4d08446d8d9cd5045e0ed6a3245162ae.jpg,300,300,110,123
Mask,61,74,10,19,0535_jpg.rf.4d08446d8d9cd5045e0ed6a3245162ae.jpg,300,300,71,93
Mask,162,74,14,22,0535_jpg.rf.4d08446d8d9cd5045e0ed6a3245162ae.jpg,300,300,176,96
Mask,179,69,13,21,0535_jpg.rf.4d08446d8d9cd5045e0ed6a3245162ae.jpg,300,300,192,90
Mask,216,76,13,16,0535_jpg.rf.4d08446d8d9cd5045e0ed6a3245162ae.jpg,300,300,229,92
Mask,234,70,15,17,0535_jpg.rf.4d08446d8d9cd5045e0ed6a3245162ae.jpg,300,300,249,87
Mask,42,73,17,28,0535_jpg.rf.4d08446d8d9cd5045e0ed6a3245162ae.jpg,300,300,59,101
None,111,33,18,36,0535_jpg.rf.4d08446d8d9cd5045e0ed6a3245162ae.jpg,300,300,129,69
None,264,53,17,30,0535_jpg.rf.4d08446d8d9cd5045e0ed6a3245162ae.jpg,300,300,281,83
