filename,class,xmin,ymin,xmax,ymax
0500_jpg.rf.4b09a43b3265db2c64f9d5344dfc8577.jpg,Mask,140,149,171,182
0501_jpg.rf.96455acfe338694438319b6f6d0d2d6f.jpg,Mask,160,99,178,126
0501_jpg.rf.96455acfe338694438319b6f6d0d2d6f.jpg,Mask,101,133,117,157
0501_jpg.rf.96455acfe338694438319b6f6d0d2d6f.jpg,Mask,54,145,71,170
0502_jpg.rf.fbf0cc6f2aac73276a8917192cebd8d7.jpg,Mask,129,64,169,99
0503_jpg.rf.857a7d51b21b594e7d5d91357fd80916.jpg,Mask,5,91,20,111
0503_jpg.rf.857a7d51b21b594e7d5d91357fd80916.jpg,Mask,172,93,186,109
0503_jpg.rf.857a7d51b21b594e7d5d91357fd80916.jpg,Mask,112,96,122,111
0503_jpg.rf.857a7d51b21b594e7d5d91357fd80916.jpg,Mask,216,95,228,112
0503_jpg.rf.857a7d51b21b594e7d5d91357fd80916.jpg,Mask,281,99,295,116
0503_jpg.rf.857a7d51b21b594e7d5d91357fd80916.jpg,Mask,147,100,163,125
0503_jpg.rf.857a7d51b21b594e7d5d91357fd80916.jpg,Mask,246,106,260,120
0503_jpg.rf.857a7d51b21b594e7d5d91357fd80916.jpg,Mask,73,110,87,127
0503_jpg.rf.857a7d51b21b594e7d5d91357fd80916.jpg,Mask,267,68,280,82
0503_jpg.rf.857a7d51b21b594e7d5d91357fd80916.jpg,Mask,91,75,100,91
0503_jpg.rf.857a7d51b21b594e7d5d91357fd80916.jpg,Mask,23,80,33,89
0503_jpg.rf.857a7d51b21b594e7d5d91357fd80916.jpg,Mask,42,81,53,92
0504_jpg.rf.e032f12f8136329706613b22012536ad.jpg,Mask,200,79,248,135
0504_jpg.rf.e032f12f8136329706613b22012536ad.jpg,Mask,46,92,91,152
0505_jpg.rf.89b8fbaf92df8bd9b5351005ebb984dd.jpg,Mask,219,73,263,159
0505_jpg.rf.89b8fbaf92df8bd9b5351005ebb984dd.jpg,Mask,175,81,227,170
0505_jpg.rf.89b8fbaf92df8bd9b5351005ebb984dd.jpg,Mask,256,75,299,179
0505_jpg.rf.89b8fbaf92df8bd9b5351005ebb984dd.jpg,Mask,105,128,154,221
0505_jpg.rf.89b8fbaf92df8bd9b5351005ebb984dd.jpg,Mask,63,158,108,244
0505_jpg.rf.89b8fbaf92df8bd9b5351005ebb984dd.jpg,Mask,38,204,81,299
0506_jpg.rf.a7128a5d521be235967c1e84f4d104ce.jpg,Mask,124,72,138,87
0506_jpg.rf.a7128a5d521be235967c1e84f4d104ce.jpg,Mask,208,78,224,92
0506_jpg.rf.a7128a5d521be235967c1e84f4d104ce.jpg,Mask,181,80,196,94
0506_jpg.rf.a7128a5d521be235967c1e84f4d104ce.jpg,Mask,63,85,79,101
0506_jpg.rf.a7128a5d521be235967c1e84f4d104ce.jpg,Mask,158,87,169,104
0507_jpg.rf.b9dfdd3b21dbf14caa3eaaed378ccb6c.jpg,Mask,108,71,122,89
0508_jpg.rf.e9f04b0dc7cc1afedcdef4e60dc4d876.jpg,Mask,94,87,119,119
0508_jpg.rf.e9f04b0dc7cc1afedcdef4e60dc4d876.jpg,Mask,163,95,186,119
0508_jpg.rf.e9f04b0dc7cc1afedcdef4e60dc4d876.jpg,Mask,25,80,49,107
0508_jpg.rf.e9f04b0dc7cc1afedcdef4e60dc4d876.jpg,Mask,250,76,277,116
