class,xmin,ymin,xwidth,ywidth,filename,height,width,xmax,ymax
Mask,110,139,32,55,0522_jpg.rf.48a69c3e9b4493e8e45650f772cdcc23.jpg,300,300,142,194
Mask,135,136,63,39,0718_jpg.rf.ebe91979c22d4f42ec389342dcb63a22.jpg,300,300,198,175
Mask,165,139,72,82,0729_jpg.rf.80c81ed2b6fe3ebfda0ab04017778b21.jpg,300,300,237,221
Mask,101,105,89,54,0833_jpg.rf.bcc0bfc131ae3869aa3eb6d57a2393e8.jpg,300,300,190,159
Mask,157,206,102,78,0966_jpg.rf.c815c2f729896f5cd481c06b0c23e4f2.jpg,300,300,259,284
Mask,135,145,73,48,1134_jpg.rf.1f026056a625d3a571b0bcf49c393760.jpg,300,300,208,193
Mask,103,184,51,57,1321_jpg.rf.55503925d17f21c0de9ce239b22c05b5.jpg,300,300,154,241
Mask,97,117,96,43,1381_jpg.rf.dc3b4524707264602fd26918148a923c.jpg,300,300,193,160
Mask,188,56,22,21,1393_jpg.rf.c57ac8237a3d365f1cf99f58eb8cbc54.jpg,300,300,210,77
Mask,103,143,105,100,1394_jpg.rf.766f7f085edb1a4be5bc68f65e2bdae3.jpg,300,300,208,243
Mask,99,156,99,92,1399_jpg.rf.aed71f665f6de032eb2e3eb84823fa35.jpg,300,300,198,248
Mask,97,213,84,69,1400_jpg.rf.9a0ef55745e9c0bda1768286947b29c0.jpg,300,300,181,282
Mask,38,65,189,146,1453_jpg.rf.71e96b600a74e2a521f8ddd8ac6e14ef.jpg,300,300,227,211
Mask,119,169,89,64,1495_jpg.rf.164033d38be228a7119319a89a847cf1.jpg,300,300,208,233
Mask,137,94,31,42,1524_jpg.rf.7d00837572e2246e647ca8fbc884c84b.jpg,300,300,168,136
Mask,127,155,61,54,1526_jpg.rf.8e400ada8b75dc093551f7d2fb94372b.jpg,300,300,188,209
Mask,84,158,68,68,1528_jpg.rf.6a0678cd6ba7c07e5e4c7b493b629fb7.jpg,300,300,152,226
Mask,54,181,104,81,1548_jpg.rf.44a30471642fbac6ac1a1735280d4524.jpg,300,300,158,262
Mask,111,95,57,51,1572_jpg.rf.9981aa62103b6cd8561559355c9702cc.jpg,300,300,168,146
Mask,141,157,46,41,1698_jpg.rf.3a8815a939404ff8f845d7dd61d879b1.jpg,300,300,187,198
Mask,99,98,52,65,1782_jpg.rf.5d12024abed076feedd028c6604534df.jpg,300,300,151,163
Mask,107,157,60,75,1791_jpg.rf.4651f434db4f3f12e8765d39de8b5a01.jpg,300,300,167,232
Mask,99,118,68,66,2002_jpg.rf.a993a92910c7b54eac6b93eeff8ea767.jpg,300,300,167,184
Mask,120,57,12,13,2133_jpg.rf.31c17dac9a94e32142905ba2b3e4c46f.jpg,300,300,132,70
Mask,72,143,63,37,2191_jpg.rf.def82dad4fed3d09881ef52ca78b9158.jpg,300,300,135,180
Mask,91,138,92,102,2260_jpg.rf.ec4e68f0c337c9d42e25a8c14b97c6f8.jpg,300,300,183,240
Mask,129,120,55,45,2436_jpg.rf.d74f588d28707030ea9857f8f456bf33.jpg,300,300,184,165
Mask,95,119,109,108,2571_jpg.rf.b95c39e910f843f31a2f262d92118be2.jpg,300,300,204,227
Mask,149,97,40,37,4085_jpg.rf.398092ad7e77cce488db8d0a8376b287.jpg,300,300,189,134
Mask,76,115,57,38,4116_jpg.rf.0335ac2a4c2b8d215f0d863938e62acb.jpg,300,300,133,153
Mask,166,141,59,41,4144_jpg.rf.ded2b42bf70c1979f12f75418da57b98.jpg,300,300,225,182
Mask,168,17,87,61,4319_jpg.rf.5bc4a43d875e161375936ed2f747f4b2.jpg,300,300,255,78
Mask,128,75,48,45,4366_jpg.rf.ed519f8838c3ff15d6d61f041f141f1d.jpg,300,300,176,120
Mask,112,108,89,51,4836_jpg.rf.35aeae53c4c8da0ca24642b04391e965.jpg,300,300,201,159
Mask,116,160,40,40,5304_jpg.rf.c0f87be27e377ca3a006b7adeb14acf2.jpg,300,300,156,200
Mask,158,135,61,52,5680_jpg.rf.89cc363f75226bbd087faed7b0f3f052.jpg,300,300,219,187
Mask,130,95,30,37,5752_jpg.rf.234431bee304b51a567ac650984eb8dd.jpg,300,300,160,132
Mask,83,120,101,49,5862_jpg.rf.28cf7d9dd53263043ce1355d29c229ab.jpg,300,300,184,169
Mask,119,136,61,51,5936_jpg.rf.2f58a7def31c9e61f87bd1896b0f9915.jpg,300,300,180,187
